,상호,주소,메뉴
0,장꼬방묵은김치찌개전문,서울특별시 서초구 효령로 364 장꼬방 지번,"한식 > 찌개,전골"
1,찜통 남부터미널점,서울특별시 서초구 효령로 276 지번,"한식 > 육류,고기요리"
2,본죽 남부터미널점,서울특별시 서초구 효령로 303 부속상가 10동 101호 지번,음식점 > 죽
3,강창구찹쌀진순대 남부터미널점,서울특별시 서초구 효령로 330-1 지번,"한식 > 순대,순댓국"
4,강촌식당 서초점,서울특별시 서초구 효령로 316-1 1층 지번,한식 > 닭갈비
5,정순화청국장,서울특별시 서초구 효령로 362 지번,한식 > 보리밥
6,북창동순두부 서초점,서울특별시 서초구 효령로 330 해평빌딩 지번,한식 > 두부요리
7,신선설농탕 서초점,서울특별시 서초구 효령로 322 신선설농탕 지번,"한식 > 곰탕,설렁탕"
8,부산아지매국밥 BC카드점,서울특별시 서초구 효령로 264 지번,한식 > 국밥
9,삼계탕마을 서초점,서울특별시 서초구 효령로 316 지번,"한식 > 백숙,삼계탕"
10,옹심이네,서울특별시 서초구 효령로 304 국제전자 11층 지번,음식점 > 한식
11,한가람,서울특별시 서초구 효령로 304 국제전자센터 11층 지번,"한식 > 찌개,전골"
12,충무식당,서울특별시 서초구 효령로 304 지번,음식점 > 한식
13,원조을지골뱅이,서울특별시 서초구 효령로 305 지번,음식점 > 한식
14,이조부대찌개,서울특별시 서초구 효령로 304 국제전자11층19호 지번,음식점 > 한식
15,밀밭,서울특별시 서초구 효령로 304 국제전자센터 지번,한식 > 국밥
16,참설농탕 서초점,서울특별시 서초구 효령로 424 지번,음식점 > 한식
17,딱밥,서울특별시 서초구 효령로 305 지번,음식점 > 한식
18,동아엠에스푸드,서울특별시 서초구 효령로 313 다샤인빌딩 5층 지번,제조업 > 식료품제조
19,시골집,서울특별시 서초구 효령로 304 지번,음식점 > 한식
20,삼대나주곰탕,서울특별시 서초구 효령로 259 동정빌딩 지번,"한식 > 곰탕,설렁탕"
21,소들녘 서초점,서울특별시 서초구 효령로 232 지번,한식 > 소고기구이
22,직화삼겹구이&떡볶이&전,서울특별시 서초구 효령로 303 지번,음식점 > 한식
23,한우만,서울특별시 서초구 효령로 216 한국음식업중앙회서초구 지번,"한식 > 육류,고기요리"
24,몽치네,서울특별시 서초구 효령로 304 지번,음식점 > 한식
25,단한상,서울특별시 서초구 효령로 303 4호 지번,음식점 > 한식
26,남부한식당,서울특별시 서초구 효령로 292 서울남부터미널 지번,음식점 > 한식
27,듬북담북 뱅뱅점,서울특별시 서초구 효령로 430 젤죤빌딩 지번,음식점 > 한식
28,부정부페,서울특별시 서초구 효령로 254 지번,음식점 > 한식뷔페
29,양재정육식당 역삼뱅뱅점,"서울특별시 서초구 효령로 426 1,2층 지번","육류,고기요리 > 정육식당"
30,남강메기 서초점,서울특별시 서초구 효령로 428 광림빌딩 지번,"한식 > 매운탕,해물탕"
31,지호한방삼계탕 서초점,서울특별시 서초구 효령로 242 서향빌딩 지번,"한식 > 백숙,삼계탕"
32,담소소사골순대육개장 서초점,서울특별시 서초구 효령로 418 우신서초빌딩 지번,"육류,고기요리 > 순대,순댓국"
33,24시뼈다귀감자탕,서울특별시 서초구 효령로 257 지번,한식 > 감자탕
34,서울순대국,서울특별시 서초구 효령로 220 지번,"한식 > 순대,순댓국"
35,호남집뼈다귀감자탕,서울특별시 서초구 효령로 257 대영빌딩 지번,한식 > 감자탕
36,엄마밥줘,서울특별시 서초구 효령로 292 지번,음식점 > 한식
37,광양불고기 강남점,서울특별시 서초구 효령로 412 대호빌딩 지번,"한식 > 육류,고기요리"
38,꼴더덕꼴더덕,서울특별시 서초구 효령로 256 지번,한식 > 한정식
39,함경순대,서울특별시 서초구 효령로 259 지번,"한식 > 순대,순댓국"
40,오우치,서울특별시 서초구 효령로 266 태원빌딩 1층 지번,일식 > 일식당
41,미토요,서울특별시 서초구 효령로 279 삼경빌딩 지하1층 지번,일식 > 돈가스
42,샤브향 서초남부점,서울특별시 서초구 효령로 260 서초빌딩 지번,일식 > 샤브샤브
43,오사카동,서울특별시 서초구 효령로 289 장곡빌딩 지번,일식 > 일식당
44,스시 36.5,서울특별시 서초구 효령로 307 스시36.5 지번,"일식 > 초밥,롤"
45,조밥집,서울특별시 서초구 효령로 237 서초한신리빙타워 지번,일식 > 일식당
46,허수아비돈까스전문점,서울특별시 서초구 효령로 307 지번,일식 > 돈가스
47,방배왕돈까스,서울특별시 서초구 효령로 132 지번,일식 > 돈가스
48,오니기리와이규동,서울특별시 서초구 효령로 117 지번,일식 > 오니기리
49,1992길건너카츠,서울특별시 서초구 효령로 72 1층 1호 지번,일식 > 돈가스
50,오우치,서울특별시 서초구 효령로 266 태원빌딩 1층 지번,일식 > 일식당
51,미토요,서울특별시 서초구 효령로 279 삼경빌딩 지하1층 지번,일식 > 돈가스
52,샤브향 서초남부점,서울특별시 서초구 효령로 260 서초빌딩 지번,일식 > 샤브샤브
53,오사카동,서울특별시 서초구 효령로 289 장곡빌딩 지번,일식 > 일식당
54,스시 36.5,서울특별시 서초구 효령로 307 스시36.5 지번,"일식 > 초밥,롤"
55,조밥집,서울특별시 서초구 효령로 237 서초한신리빙타워 지번,일식 > 일식당
56,허수아비돈까스전문점,서울특별시 서초구 효령로 307 지번,일식 > 돈가스
57,방배왕돈까스,서울특별시 서초구 효령로 132 지번,일식 > 돈가스
58,오니기리와이규동,서울특별시 서초구 효령로 117 지번,일식 > 오니기리
59,1992길건너카츠,서울특별시 서초구 효령로 72 1층 1호 지번,일식 > 돈가스
60,바르다김선생 방배점,서울특별시 서초구 효령로 117 한성빌딩 지번,음식점 > 분식
61,떡순튀 서초점,서울특별시 서초구 효령로 237 지번,분식 > 종합분식
62,국대떡볶이 방배역점,서울특별시 서초구 효령로 115 1층 지번,음식점 > 분식
63,요런떡볶이 서초점,서울특별시 서초구 효령로 226 지번,음식점 > 분식
64,김밥천국서울고앞점,서울특별시 서초구 효령로 224 지번,음식점 > 분식
65,명가김밥,서울특별시 서초구 효령로 120 대원빌딩 지번,분식 > 김밥
66,정성김밥,서울특별시 서초구 효령로 292 지번,분식 > 종합분식
67,우리분식,서울특별시 서초구 효령로 292 지번,분식 > 종합분식
68,국대떡볶이 서초남부점,서울특별시 서초구 효령로 314 1층 지번,음식점 > 분식
69,김가네김밥 방배3동점,서울특별시 서초구 효령로 20 배각관 지번,음식점 > 분식
70,바르다김선생 방배점,서울특별시 서초구 효령로 117 한성빌딩 지번,음식점 > 분식
71,떡순튀 서초점,서울특별시 서초구 효령로 237 지번,분식 > 종합분식
72,국대떡볶이 방배역점,서울특별시 서초구 효령로 115 1층 지번,음식점 > 분식
73,요런떡볶이 서초점,서울특별시 서초구 효령로 226 지번,음식점 > 분식
74,김밥천국서울고앞점,서울특별시 서초구 효령로 224 지번,음식점 > 분식
75,명가김밥,서울특별시 서초구 효령로 120 대원빌딩 지번,분식 > 김밥
76,정성김밥,서울특별시 서초구 효령로 292 지번,분식 > 종합분식
77,우리분식,서울특별시 서초구 효령로 292 지번,분식 > 종합분식
78,국대떡볶이 서초남부점,서울특별시 서초구 효령로 314 1층 지번,음식점 > 분식
79,김가네김밥 방배3동점,서울특별시 서초구 효령로 20 배각관 지번,음식점 > 분식
80,하오차이,서울특별시 서초구 효령로 260 지번,중식 > 중식당
81,다리원,서울특별시 서초구 효령로 105 범창빌딩 지번,중식 > 중식당
82,산동,서울특별시 서초구 효령로 214 삼양빌딩 지번,중식 > 중식당
83,강남짬뽕,서울특별시 서초구 효령로 289 지번,중식 > 중식당
84,남부양꼬치 마라탕,서울특별시 서초구 효령로 314 지번,중식 > 중식당
85,옛날손짜장,서울특별시 서초구 효령로 304 국제전자센터 지번,중식 > 중식당
